Feature.ID	B13_FFPE_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B13_FF_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B11_FFPE_TagII_Total_Exon_Reads_fwd_RNA.Seq	B11_FF_TagII_Total_Exon_Reads_fwd_RNA.Seq	B11_FFPE_T2gII_Total_Exon_Reads_fwd_RNA.Seq	B11_FF_T2gII_Total_Exon_Reads_fwd_RNA.Seq	B12_FFPE_TagII_Total_Exon_Reads_fwd_RNA.Seq	B12_FF_TagII_Total_Exon_Reads_fwd_RNA.Seq	B12_FFPE_T1gII_Total_Exon_Reads_fwd_RNA.Seq	B12_FF_T1gII_Total_Exon_Reads_fwd_RNA.Seq	B14_FFPE_TagII_Total_Exon_Reads_fwd_RNA.Seq	B14_FF_TagII_Total_Exon_Reads_fwd_RNA.Seq	B14_FFPE_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B14_FF_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B15_FF_T2grIII_Total_Exon_Reads_fwd_RNA.Seq	B15_FFPE_T2grIII_Total_Exon_Reads_fwd_RNA.Seq
61E3.4	41	1060	40	998	49	2221	1011	2490	92	834	217	7526	226	3440	2949	201
A1BG	0	4	0	2	0	10	2	9	0	2	0	21	0	16	23	2
A1CF	0	0	0	0	0	2	2	2	0	1	0	1	1	49	45	0
A2M	39	1799	12	345	119	20898	376	15803	41	3790	133	28073	135	35250	23848	406
A2ML1	50	298	16	6	5	219	26	246	0	15	2	292	1	37	5639	67
A4GALT	2	37	2	24	5	247	24	195	6	138	19	364	6	277	360	18
A4GNT	0	0	0	1	0	0	0	0	0	0	0	0	0	7	4	0
AAAS	5	61	4	80	4	398	22	577	3	417	12	501	8	897	682	8
AACS	1	131	4	38	5	704	41	418	6	554	23	1081	22	1705	1595	37
AADAC	0	18	3	4	1	25	3	9	1	9	0	4	1	26	3388	26
AADACL2	0	0	0	1	0	0	0	0	0	0	0	0	0	4	21	2
AADACL3	0	0	0	0	0	0	0	1	0	0	0	0	0	22	14	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	0
AADAT	4	74	1	28	5	198	56	396	2	476	17	1200	16	2292	578	13
AAED1	0	6	0	0	0	120	6	78	0	35	0	174	0	131	105	3
AAGAB	7	311	9	164	29	2504	326	2842	21	1563	70	3565	50	4874	3837	81
AAK1	32	1042	29	432	65	3066	666	2903	83	1821	144	8247	191	8971	16074	371
AAMDC	0	22	1	5	0	115	24	203	1	154	3	126	3	261	175	3
AAMP	9	468	2	88	20	1837	140	1527	4	927	21	1720	27	2767	1868	45
AANAT	0	0	0	1	0	0	0	0	0	4	0	3	0	11	2	1
AAR2	0	94	1	60	8	938	39	835	3	686	9	1044	6	1082	1384	16
AARD	0	0	0	0	0	0	0	0	0	0	0	3	1	8	8	1
AARS	31	956	9	250	24	2968	159	1989	20	1427	34	4671	42	5124	11624	184
AARS2	6	167	3	100	8	804	50	646	6	402	15	981	17	1450	1308	19
AARSD1	1	43	2	21	3	286	24	572	1	337	13	373	10	728	687	17
AASDH	4	151	0	121	10	932	62	626	5	312	12	1137	3	1317	472	6
AASDHPPT	1	141	4	39	9	1124	72	1710	4	1031	18	2381	14	3686	2035	28
AASS	14	658	32	856	48	5161	215	1852	11	267	67	3247	21	1656	1256	37
AATF	3	301	4	98	19	1262	165	1620	18	1495	37	1995	37	2907	3096	73
AATK	0	9	0	3	0	30	3	10	1	14	2	66	4	63	50	3
ABAT	9	160	1	172	4	1059	131	2732	10	814	33	1972	18	1413	544	15
ABCA1	19	853	19	252	30	3004	161	3142	16	1232	59	4240	38	3763	7071	155
ABCA10	0	119	1	78	1	355	62	830	13	348	10	1209	9	707	326	12
ABCA12	8	337	3	15	4	215	9	114	1	14	8	1986	0	160	296	4
ABCA13	13	706	7	135	12	949	63	291	1	57	7	385	4	493	290	3
ABCA2	4	102	1	43	10	555	44	348	2	252	24	1576	18	1887	582	15
ABCA3	0	68	0	8	0	81	3	67	1	43	1	172	2	211	290	8
ABCA4	0	4	0	0	0	8	0	23	1	1	0	23	3	172	41	1
ABCA5	7	284	8	512	16	2084	342	2861	34	2035	47	3420	29	2434	1450	24
ABCA6	4	59	1	373	4	420	117	2180	13	587	106	770	4	354	459	19
ABCA7	0	106	4	76	15	616	21	276	2	202	8	665	10	642	630	14
ABCA8	0	109	1	47	5	504	7	339	0	53	0	247	5	404	664	11
ABCA9	1	32	0	183	3	253	53	520	4	73	52	305	2	168	216	15
ABCB1	3	52	1	50	4	451	5	336	0	20	2	621	5	664	203	7
ABCB10	9	217	2	69	5	845	109	1096	8	968	18	1350	14	2586	601	11
ABCB11	1	101	4	9	0	20	1	7	0	0	0	9	0	31	75	0
ABCB4	0	20	0	6	1	136	3	86	0	19	1	120	2	220	72	2
ABCB5	0	1	0	0	0	0	0	0	0	0	0	9	0	48	40	1
ABCB6	2	151	0	98	2	143	32	556	3	150	8	936	22	1582	828	6
ABCB7	4	133	2	68	2	806	58	781	3	692	13	1058	12	1660	872	16
ABCB8	2	42	0	20	3	268	19	314	2	244	5	398	1	463	608	6
ABCB9	2	27	0	23	4	125	11	73	2	47	2	165	1	154	253	7
ABCC1	14	901	11	417	38	1977	238	1593	20	1053	72	3705	46	3654	3464	96
ABCC10	1	155	7	153	10	739	97	770	8	580	13	1178	23	1065	886	22
ABCC11	1	5	0	11	0	12	1	20	0	4	1	28	0	55	33	0
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	35	27	0
ABCC2	1	111	0	17	0	25	3	25	0	18	0	74	1	64	37	0
ABCC3	13	527	8	613	6	395	638	8532	40	2102	62	1772	93	4095	3471	88
ABCC4	16	442	6	586	26	4146	241	4105	29	2926	32	3133	29	3582	3558	65
ABCC5	23	2033	9	693	33	1928	414	3222	31	1090	113	7183	99	7021	4557	109
ABCC6	0	1	0	15	0	39	0	4	0	0	0	14	0	19	41	0
ABCC8	0	0	0	0	0	6	0	1	0	2	0	1	0	21	11	1
ABCC9	3	57	1	11	6	716	7	423	1	99	7	821	3	781	460	36
ABCD1	0	52	1	21	6	340	12	211	3	137	4	334	6	324	439	4
ABCD2	2	27	0	10	4	180	3	26	0	0	5	469	1	77	115	1
ABCD3	9	562	6	260	17	3354	423	5955	30	3466	77	4829	75	11507	12827	144
ABCD4	2	169	1	138	8	780	107	1232	14	673	25	1464	20	1533	1871	36
ABCE1	12	733	11	216	16	4740	254	3531	18	1970	56	5047	65	11578	4894	70
ABCF1	12	703	14	171	33	1929	209	1621	32	1045	69	3440	76	4169	4075	95
ABCF2	6	596	4	160	22	2327	160	2301	19	1640	28	3517	45	5277	4443	55
ABCF3	7	387	2	118	12	1175	85	1131	9	602	24	1832	15	2298	2813	42
ABCG1	11	175	3	175	7	467	270	3589	25	2678	17	1609	27	1557	2400	43
ABCG2	0	35	1	36	3	584	23	831	2	72	6	899	11	1518	201	8
ABCG4	0	0	0	0	0	0	0	5	0	3	0	14	0	22	12	0
ABCG5	0	0	0	0	0	0	0	0	0	0	0	0	0	7	23	0
ABCG8	0	0	0	0	0	0	0	1	0	0	0	0	0	4	11	0
ABHD1	0	2	0	1	0	6	1	0	0	2	0	17	0	9	0	0
ABHD10	4	101	0	52	5	1345	67	868	2	575	15	997	10	2320	2065	46
ABHD11	0	115	2	51	2	278	31	635	3	598	7	757	11	900	684	14
ABHD12	10	220	2	90	7	1381	186	3332	23	3444	26	2603	30	3592	2784	41
ABHD12B	0	0	0	0	0	1	0	18	0	1	0	10	0	11	15	0
ABHD13	4	158	6	115	10	1595	244	1979	10	1188	13	2153	17	2415	1388	31
ABHD14A	0	21	0	5	1	52	8	241	0	166	1	149	2	342	116	2
ABHD14B	6	225	2	50	5	247	90	1114	1	904	12	1124	19	1560	413	10
ABHD15	3	39	1	67	4	528	96	1309	9	1154	7	577	13	1076	1012	10
ABHD16A	2	104	3	42	12	845	41	723	3	450	12	810	16	1139	967	27
ABHD16B	0	2	0	2	0	15	0	20	0	6	0	16	0	10	18	0
ABHD2	24	858	18	362	43	5639	969	16709	121	13610	138	6295	92	9820	9145	159
ABHD3	1	100	2	32	1	326	9	366	1	200	3	410	3	480	349	2
ABHD4	0	103	1	13	4	328	20	576	1	278	5	749	8	581	1954	19
ABHD5	9	253	3	98	6	899	245	1952	26	1420	36	2047	34	3018	2388	47
ABHD6	1	69	1	22	2	246	19	248	3	177	11	386	3	272	423	12
ABHD8	1	9	0	6	0	84	4	75	0	24	1	80	0	89	100	2
ABI1	22	797	8	201	30	3128	361	3599	49	2590	66	4654	61	5979	6012	112
ABI2	15	343	12	191	34	2218	274	1966	31	1081	61	3156	78	4616	1837	68
ABI3	0	50	0	12	0	324	7	86	1	20	5	314	3	252	99	2
ABI3BP	5	135	1	26	5	268	8	144	0	4	9	441	5	384	650	26
ABL1	4	177	4	42	13	855	91	934	14	612	17	1558	28	1592	2729	42
ABL2	13	544	14	141	25	1625	264	2017	24	871	57	5113	72	4560	5366	112
ABLIM1	54	2871	18	206	43	3679	1074	11042	66	5493	125	8878	97	11765	25736	364
ABLIM2	0	38	0	3	0	25	0	17	1	18	0	40	1	48	186	2
ABLIM3	0	44	3	80	0	228	86	1162	7	194	27	1614	28	1742	2975	44
ABO	10	43	3	46	4	6	121	196	11	66	17	156	35	190	144	37
ABP1	0	1	0	2	0	17	0	5	0	1	0	79	0	6	575	4
ABR	18	664	11	302	35	3258	234	2545	18	1618	62	4819	54	4656	3366	70
ABRA	0	0	0	0	0	2	1	5	0	1	1	3	0	4	28	0
ABRACL	6	165	1	44	8	1417	77	1388	6	1577	19	1497	10	2782	1728	30
ABT1	1	90	3	36	0	426	46	620	2	386	11	654	5	1150	523	5
ABTB1	1	39	0	13	5	89	26	219	7	132	2	228	2	182	91	4
ABTB2	1	25	0	9	1	94	6	61	1	97	4	139	4	152	994	21
ACAA1	9	401	6	244	19	904	121	1397	12	729	29	2132	23	2267	2155	38
ACAA2	0	51	0	2	2	214	15	470	1	103	6	1018	9	1588	500	14
ACACA	39	924	33	523	54	4661	798	5814	68	4855	116	10662	162	14516	16431	291
ACACB	3	106	2	144	6	573	65	639	7	287	15	970	10	729	428	10
ACAD10	2	92	6	143	10	828	107	929	11	528	14	1389	23	1539	834	21
ACAD11	8	242	5	298	16	1633	138	739	9	544	29	1933	15	1596	996	32
ACAD8	0	62	2	50	3	335	31	748	4	333	4	717	6	1229	819	6
ACAD9	7	333	5	137	12	1493	58	1172	4	844	24	1914	19	2671	2766	34
ACADL	0	3	0	0	0	34	0	3	1	1	3	30	0	15	67	1
ACADM	6	299	3	164	11	1642	150	2263	13	863	26	2082	20	4297	3400	39
ACADS	0	8	0	2	2	139	6	123	0	100	1	104	0	137	74	4
ACADSB	14	482	3	128	16	3442	227	1635	7	835	47	1964	25	3164	1440	28
ACADVL	10	1082	13	780	59	7676	267	4970	28	4112	90	9463	101	10900	5772	111
ACAN	0	16	2	8	1	142	1	67	1	65	3	459	1	231	333	4
ACAP1	0	55	0	22	2	305	4	52	0	18	3	379	0	23	107	1
ACAP2	17	869	12	195	26	4506	305	4013	33	1955	66	5591	65	8302	14522	192
ACAP3	6	189	5	174	12	474	47	725	12	505	12	1270	33	1943	2578	56
ACAT1	1	81	1	21	6	698	23	339	1	362	17	899	13	1877	1004	9
ACAT2	4	101	2	33	4	1460	29	686	1	490	10	772	9	2043	1305	12
ACBD3	20	634	7	168	24	2311	340	2903	19	1722	56	4731	64	6914	4644	97
ACBD4	0	15	1	37	0	102	24	239	1	152	3	216	0	243	151	1
ACBD5	7	402	4	136	8	2451	175	2699	14	1197	28	3062	26	4757	4805	40
ACBD6	5	306	1	92	6	467	111	798	9	594	18	1655	31	1982	1257	21
ACBD7	0	22	0	1	1	73	5	9	0	23	1	99	4	328	1486	23
ACCS	3	63	2	100	3	316	55	483	8	215	3	316	6	215	167	3
ACCSL	0	0	0	1	0	1	0	0	0	0	0	0	0	15	5	0
ACD	0	51	1	9	0	117	10	235	1	234	0	159	2	409	315	9
ACE	4	148	0	24	5	410	23	175	1	257	13	1812	20	1813	841	7
ACE2	1	18	0	14	3	218	0	75	0	11	3	34	0	53	49	0
ACER1	0	0	0	0	0	1	0	3	0	0	0	0	0	1	8	0
ACER2	20	374	10	209	17	1380	1485	16701	52	1642	71	4230	201	18448	16879	136
ACER3	15	269	3	107	12	1450	60	751	5	517	13	1127	19	1705	871	13
ACHE	0	3	0	2	0	14	1	48	0	22	5	147	0	20	146	3
ACIN1	35	1725	29	525	68	3418	951	5216	102	2862	249	11595	228	13604	7426	187
ACLY	24	710	12	288	34	3740	429	5984	43	6194	63	7878	73	13187	16845	182
ACMSD	0	0	0	0	0	1	2	1	0	1	0	2	0	8	8	0
ACN9	1	50	2	15	3	284	10	177	0	177	5	376	5	806	601	8
ACO1	2	240	3	75	8	1097	95	2000	5	1094	11	1252	18	2401	1717	17
ACO2	5	439	3	174	12	1797	128	2678	15	1647	30	2962	41	5142	8538	72
ACOT1	0	0	0	4	0	66	3	39	0	22	0	52	0	78	188	4
ACOT11	6	76	1	88	3	237	53	763	3	296	15	1015	25	1289	635	13
ACOT12	0	1	0	1	0	0	0	4	0	0	0	1	0	23	9	0
ACOT13	0	210	6	47	8	828	46	490	1	307	15	1064	10	1302	844	14
ACOT2	0	14	1	14	1	115	0	291	3	164	1	183	1	327	382	1
ACOT4	0	0	0	0	0	33	0	77	0	54	0	36	0	46	112	0
ACOT6	0	0	0	0	0	0	0	0	0	0	0	1	0	4	5	0
ACOT7	0	38	0	8	2	161	5	92	1	68	1	277	2	380	1736	13
ACOT8	0	25	0	22	0	236	31	283	1	288	3	257	1	309	554	5
ACOT9	1	101	2	44	13	897	56	705	5	667	10	1138	3	804	579	14
ACOX1	19	561	11	285	27	4389	782	10879	58	6947	93	7595	106	13454	42288	466
ACOX2	1	9	0	1	0	33	0	14	0	2	0	29	0	41	25	0
ACOX3	4	174	0	102	6	653	92	1245	8	1111	10	1337	12	1927	2332	30
ACOXL	1	59	3	107	3	241	314	1786	34	884	42	1700	59	3630	628	16
ACP1	9	409	7	79	20	2177	191	2804	17	2136	26	2447	37	4223	3092	57
ACP2	2	58	1	58	9	617	20	603	1	426	4	429	1	489	830	10
ACP5	2	22	1	10	2	352	5	65	0	10	1	182	2	125	338	7
ACP6	2	285	1	159	6	403	120	1511	7	846	19	1190	22	1466	984	11
ACPL2	3	187	5	42	6	726	136	1176	12	2948	28	1022	44	3616	2520	50
ACPP	7	92	1	20	7	320	6	70	0	24	3	177	0	106	67	3
ACPT	0	0	0	0	0	4	0	0	0	1	0	2	0	10	3	0
ACR	0	1	0	0	0	0	1	0	0	0	0	1	0	4	13	1
ACRBP	0	4	0	13	0	41	5	16	0	30	3	76	0	143	40	1
ACRC	0	54	2	91	2	149	39	142	2	108	13	458	10	263	343	9
ACRV1	0	1	0	0	0	1	0	0	0	0	0	1	0	12	6	0
ACSBG1	2	60	0	106	1	13	24	98	4	232	8	221	5	289	465	22
ACSBG2	0	1	0	0	0	2	0	2	0	0	0	2	0	18	7	0
ACSF2	5	49	2	151	6	630	93	1298	2	449	17	1232	11	967	2630	36
ACSF3	4	111	6	90	0	313	24	315	2	190	7	544	10	695	998	20
ACSL1	18	860	5	216	13	1422	118	2145	13	1667	37	4339	31	5629	15163	153
ACSL3	22	1028	16	452	43	6320	377	3800	36	2587	67	5350	53	9538	4413	66
ACSL4	8	180	7	122	45	6410	161	2794	12	1738	41	5620	17	2782	7676	68
ACSL5	13	989	8	206	20	3554	368	8529	21	2821	67	4561	45	9218	9145	102
ACSL6	0	9	1	1	2	48	1	14	1	5	0	96	0	38	102	2
ACSM1	0	8	0	0	1	2	1	63	1	9	0	37	0	39	19	0
ACSM2A	0	0	0	0	0	0	0	0	0	0	0	0	0	16	14	0
ACSM2B	0	0	0	0	0	2	0	0	0	0	0	4	0	19	9	0
ACSM3	0	22	0	13	0	79	7	188	0	18	2	324	0	408	1231	5
ACSM4	0	0	0	0	0	3	0	0	0	0	0	1	0	11	18	0
ACSM5	0	2	0	0	0	4	0	33	0	0	0	13	0	21	20	0
ACSS1	4	82	3	43	8	855	116	1446	12	1093	23	1200	18	1076	632	15
ACSS2	1	93	4	43	5	699	52	483	7	532	9	748	10	877	1337	22
ACSS3	0	24	1	67	5	541	30	378	0	262	4	113	1	137	90	4
ACTA1	0	0	0	3	0	26	1	23	2	22	0	10	0	25	24	1
ACTA2	9	325	11	44	35	2577	122	4049	18	3323	38	8022	33	7215	4615	306
ACTB	428	14356	229	2786	827	79404	11034	164903	926	164960	1063	107555	1101	138609	103294	1921
ACTBL2	0	0	0	0	0	0	0	0	0	0	0	1	0	8	4	0
ACTC1	0	2	0	0	1	11	0	5	0	0	0	7	0	12	13	4
ACTG1	165	4855	111	1484	308	35710	7241	152152	548	175413	494	42635	520	87969	68561	858
ACTG2	1	31	0	1	7	592	28	567	5	702	3	915	1	417	349	58
ACTL10	1	10	0	3	0	77	4	72	0	64	2	46	1	58	50	0
ACTL6A	9	346	4	60	16	1503	54	1606	10	1317	22	1676	30	4415	4016	47
ACTL6B	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0
ACTL7A	0	0	0	0	0	1	0	0	0	0	0	1	0	3	5	0
ACTL7B	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
ACTL8	0	4	0	0	0	0	1	3	0	0	1	0	0	16	36	1
ACTL9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACTN1	20	609	11	162	77	5965	129	2365	16	1706	59	7944	55	7779	9973	244
ACTN2	0	2	0	0	0	5	0	4	0	1	0	13	0	19	122	1
ACTN4	52	3061	21	664	83	8089	654	9253	72	7904	124	10957	118	13933	19864	323
ACTR10	1	189	1	45	10	1561	77	1551	5	1081	7	1540	19	2820	1889	18
ACTR1A	11	359	7	65	21	1044	119	1636	25	1629	35	2772	41	3054	3099	56
ACTR1B	8	187	2	71	11	700	76	965	7	765	17	980	24	1355	1643	31
ACTR2	68	2244	57	577	140	11074	1443	9885	109	6196	264	20220	231	22143	22615	464
ACTR3	36	1586	12	345	85	10126	719	8648	44	7658	117	9812	94	14432	9121	178
ACTR3B	2	69	0	40	2	174	36	308	4	325	12	625	11	913	514	3
ACTR3C	0	41	4	106	5	389	53	345	9	131	9	986	15	768	603	8
ACTR5	0	97	2	26	4	638	21	329	2	244	9	653	2	554	655	10
ACTR6	0	180	4	48	5	770	63	766	3	525	11	1094	20	1904	1392	12
ACTR8	5	210	2	104	11	1259	100	1587	10	924	29	2067	23	3092	1463	22
ACTRT1	0	2	0	0	0	0	1	0	0	2	0	1	0	6	2	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0
ACTRT3	0	2	0	9	0	28	19	85	0	7	1	127	0	171	16	0
ACVR1	8	192	3	97	15	1179	101	968	6	547	19	1483	19	1412	1048	24
ACVR1B	4	305	8	151	9	996	181	1585	12	1001	35	1469	25	1679	1527	39
ACVR1C	5	306	1	44	0	29	20	73	4	105	1	221	3	802	841	19
ACVR2A	7	753	2	219	18	2233	232	2058	21	1189	38	3033	39	5382	3539	50
ACVR2B	14	342	9	99	7	767	314	1734	18	964	66	2934	62	8142	1121	49
ACVRL1	3	87	2	26	2	615	20	340	0	189	10	1048	7	1065	538	8
ACY1	5	68	2	25	2	284	20	648	0	314	9	421	6	1202	994	6
ACY3	1	3	0	1	0	19	0	6	0	0	0	6	0	4	11	0
ACYP1	1	45	1	32	3	152	29	163	0	82	3	318	7	299	272	17
ACYP2	1	19	1	26	2	113	3	164	1	85	0	204	0	188	125	1
ADA	0	16	0	9	3	115	3	28	1	35	1	195	0	54	522	6
ADAD1	0	0	0	0	0	0	0	0	0	0	0	2	0	9	6	0
ADAD2	0	2	0	2	0	3	0	10	0	3	0	27	1	33	14	0
ADAL	1	62	2	40	0	565	26	290	0	129	10	602	8	588	257	9
ADAM10	114	5976	35	737	89	16458	2341	24659	211	18190	416	30553	360	62953	25845	308
ADAM11	0	1	0	1	0	11	3	43	0	50	3	22	1	50	43	2
ADAM12	2	36	4	12	5	303	16	127	5	95	9	1724	8	815	472	64
ADAM15	6	499	3	100	12	1415	86	1799	7	1240	11	1450	18	3770	2544	31
ADAM17	9	977	15	252	28	2339	274	3295	28	2127	64	5217	67	7346	7603	125
ADAM18	0	0	0	0	0	0	0	0	0	0	0	1	0	26	14	0
ADAM19	3	130	5	46	12	1354	19	138	3	62	16	1855	5	405	809	50
ADAM2	0	9	0	1	0	2	0	4	0	0	0	0	0	17	19	0
ADAM20	3	39	0	30	2	65	41	79	3	37	6	231	2	106	152	6
ADAM21	0	1	0	1	0	3	0	5	0	0	0	3	0	28	5	1
ADAM22	1	14	1	19	0	199	2	105	1	45	4	480	2	346	928	25
ADAM23	0	22	0	4	1	49	3	52	2	14	2	153	2	148	142	6
ADAM28	12	383	6	369	8	706	64	849	4	16	46	2255	15	878	157	3
ADAM29	0	0	0	0	0	0	0	0	0	0	0	0	0	24	16	0
ADAM30	0	0	0	0	0	0	0	0	0	0	0	5	0	7	6	0
ADAM32	0	26	0	6	1	36	2	22	0	7	2	144	1	226	28	2
ADAM33	0	8	0	1	4	143	0	68	0	7	2	58	3	64	102	4
ADAM7	0	0	0	0	0	0	0	0	0	0	0	0	0	22	2	0
ADAM8	4	254	2	19	4	206	76	806	5	264	13	1125	20	1122	1883	48
ADAM9	33	916	20	374	77	9083	369	4458	16	2230	81	7459	92	11947	1853	66
ADAMDEC1	0	35	2	16	2	627	1	94	1	1	0	125	0	12	106	3
ADAMTS1	8	163	4	51	13	1177	428	3635	35	2604	17	2574	47	4136	1451	86
ADAMTS10	0	28	0	9	3	198	1	93	0	19	5	218	2	149	110	6
ADAMTS12	0	20	1	4	0	377	13	59	1	49	3	778	2	253	404	44
ADAMTS13	0	7	0	7	0	28	8	41	2	25	2	97	0	87	63	0
ADAMTS14	0	20	0	2	4	263	4	46	0	14	5	175	1	92	130	12
ADAMTS15	6	26	3	14	1	62	24	172	2	17	2	31	0	34	24	5
ADAMTS16	0	1	0	0	0	23	0	18	0	0	0	44	0	28	13	2
ADAMTS17	1	37	0	1	0	27	10	68	1	11	1	74	1	93	119	4
ADAMTS18	0	14	0	0	0	12	0	10	1	0	1	57	1	84	55	0
ADAMTS19	0	3	0	1	0	2	6	77	1	3	0	135	2	152	271	3
ADAMTS2	0	42	0	6	3	513	3	145	3	87	13	1297	4	421	722	70
ADAMTS20	3	79	5	90	0	146	8	56	4	87	0	3	5	401	128	3
ADAMTS3	0	5	0	3	0	46	3	21	0	4	1	127	1	115	144	2
ADAMTS4	2	16	0	7	4	293	3	91	4	91	1	461	6	313	268	28
ADAMTS5	1	25	1	10	2	342	32	377	7	184	5	562	6	570	244	11
ADAMTS6	0	16	0	28	2	506	22	115	2	15	10	311	4	326	267	7
ADAMTS7	1	23	1	35	3	182	20	175	3	254	11	824	14	866	1280	29
ADAMTS8	1	13	1	2	1	31	3	101	0	32	3	126	2	209	46	1
ADAMTS9	3	169	8	98	9	1281	45	689	6	284	34	4086	63	3682	1341	54
ADAMTSL1	0	12	0	11	1	117	2	58	0	3	1	66	4	122	58	4
ADAMTSL2	1	27	2	18	0	129	6	86	2	34	2	330	6	488	135	1
ADAMTSL3	1	38	0	20	1	51	5	126	1	20	8	50	5	246	99	14
ADAMTSL4	2	14	0	9	1	92	7	75	1	14	0	148	1	54	223	7
ADAMTSL5	2	7	1	10	0	68	10	137	2	24	2	74	2	46	95	1
ADAP1	0	17	0	4	1	112	14	240	3	287	6	249	6	532	362	6
ADAP2	2	75	1	41	5	442	13	217	4	92	13	675	8	604	506	14
ADAR	95	3950	55	830	103	12565	1096	16495	92	6646	264	23680	227	29438	24713	314
ADARB1	3	90	2	45	10	380	53	264	4	159	13	1042	19	920	367	23
ADARB2	0	3	0	0	0	9	0	1	1	0	0	6	0	17	21	2
ADAT1	2	188	1	155	7	723	86	835	4	330	13	1389	22	1746	2098	33
ADAT2	5	113	3	66	3	333	54	403	4	160	19	790	23	703	300	13
ADAT3	0	0	0	0	0	1	0	4	0	2	0	0	0	1	0	0
ADC	0	6	0	4	0	89	6	36	0	17	0	71	0	40	49	6
ADCK1	0	30	0	29	2	125	13	165	1	112	2	245	4	210	211	2
ADCK2	2	75	2	31	2	527	58	814	6	785	12	666	15	1437	1179	9
ADCK3	2	107	2	26	4	245	51	721	6	577	12	802	22	2175	794	15
ADCK4	0	41	1	43	1	212	16	229	4	213	5	318	6	307	663	11
ADCK5	1	25	1	19	3	128	10	159	2	124	6	172	5	203	94	8
ADCY1	1	87	0	2	3	75	19	177	1	185	16	790	18	2170	893	6
ADCY10	0	6	0	2	0	1	3	6	0	0	0	35	0	45	98	2
ADCY2	0	3	0	0	0	8	2	10	0	2	0	35	0	41	49	4
ADCY3	4	328	2	50	9	833	63	763	5	1028	15	1386	26	2255	1206	21
ADCY4	2	45	2	51	3	370	21	211	1	89	7	452	13	471	135	5
ADCY5	1	23	0	1	2	134	5	231	0	13	4	189	2	86	65	5
ADCY6	11	297	10	231	14	803	183	1851	16	1218	43	2637	48	3216	3207	40
ADCY7	5	151	7	39	12	982	42	342	3	337	9	1237	5	354	811	20
ADCY8	0	0	0	0	0	0	0	0	0	0	0	0	0	15	15	0
ADCY9	3	182	4	48	6	628	36	373	7	428	12	1058	15	806	1545	20
ADCYAP1	0	5	0	0	0	16	2	10	0	0	0	35	0	113	65	7
ADCYAP1R1	0	1	0	0	0	1	0	2	0	0	1	43	0	28	43	0
ADD1	20	1587	15	429	52	6513	437	6613	31	4231	99	8848	121	13951	7275	127
ADD2	0	16	0	0	0	31	1	11	0	0	0	21	0	31	1358	26
ADD3	14	581	10	155	29	3884	358	5986	22	2973	60	4947	44	7630	5108	97
ADGB	0	0	0	0	0	3	0	1	0	0	0	6	0	42	25	0
ADH1A	0	2	0	2	0	5	0	6	0	2	0	9	0	18	18	2
ADH1B	0	6	0	9	1	270	0	64	0	2	0	31	0	57	90	7
ADH1C	0	0	0	1	28	1999	3	52	0	2	0	3	1	72	4112	18
ADH4	0	4	0	2	0	35	4	20	0	4	0	28	0	35	17	0
ADH5	22	981	8	142	39	5952	211	4873	14	3093	39	3842	30	9220	6800	69
ADH6	0	1	0	7	1	33	1	41	0	3	0	14	0	62	258	1
ADH7	2	257	0	25	10	1776	1	1	0	128	0	0	0	29	23	0
ADHFE1	1	9	0	54	2	183	15	150	0	7	3	189	6	241	24	1
ADI1	8	435	12	148	24	2758	157	2522	8	1976	38	2617	47	6330	3699	61
ADIG	0	0	0	1	0	1	0	0	0	3	0	3	0	3	0	0
ADIPOQ	0	0	0	0	0	1	0	2	0	0	0	0	0	18	3	5
ADIPOR1	25	1005	7	197	16	2483	469	5421	44	2824	55	4641	88	7599	4308	57
ADIPOR2	15	362	9	74	20	1555	222	2038	15	1670	35	2329	27	3159	5373	69
ADK	4	203	2	71	8	1049	37	927	3	805	16	1501	8	1947	1622	10
ADM	11	201	6	28	11	603	71	732	10	320	7	648	15	772	1442	8
ADM2	0	3	0	3	0	29	0	13	0	9	0	38	0	10	318	7
ADNP	40	1897	35	646	64	6060	969	7396	98	5282	198	15448	176	18848	16497	250
ADNP2	7	222	6	123	12	1260	160	1431	16	1173	21	2347	41	4570	2144	43
ADO	4	156	3	23	6	779	91	1343	8	1283	24	1382	12	2051	1327	17
ADORA1	0	2	0	2	1	21	0	4	0	4	2	24	0	18	66	2
ADORA2A	0	14	0	3	2	62	2	23	0	6	1	179	3	83	53	2
ADORA2B	1	47	0	19	2	476	12	119	2	193	1	121	1	206	140	0
ADORA3	2	8	0	1	2	46	1	37	0	28	1	42	0	40	53	3
ADPGK	6	186	3	184	12	1334	78	1142	6	724	24	2117	25	2228	1209	29
